imdb_id,title
tt1345836,The Dark Knight Rises
tt0087843,Once Upon a Time in America
tt0090605,Aliens
tt6033368,Your Name
tt2380307,Coco
tt0169547,American Beauty
tt0112573,Braveheart
tt0082096,Das Boot
tt1187043,3 Idiots
tt0114709,Toy Story
tt0057565,High and Low
tt8579674,1917
tt0086190,Star Wars: Episode VI - Return of the Jedi
tt0086879,Amadeus
tt0105236,Reservoir Dogs
tt0361748,Inglourious Basterds
tt0119217,Good Will Hunting
tt0062622,2001: A Space Odyssey
tt0052357,Vertigo
tt0180093,Requiem for a Dream
tt0022100,M
tt5074352,Dangal
tt0338013,Eternal Sunshine of the Spotless Mind
tt0033467,Citizen Kane
tt2106476,The Hunt
tt0093058,Full Metal Jacket
tt0053125,North by Northwest
tt0066921,A Clockwork Orange
tt0040522,Bicycle Thieves
tt0012349,The Kid
tt0208092,Snatch
tt0045152,Singin' in the Rain
tt0086250,Scarface
tt0075314,Taxi Driver
tt0211915,Amélie
tt0056172,Lawrence of Arabia
tt0070735,The Sting
tt0435761,Toy Story 3
tt0017136,Metropolis
tt0044741,Ikiru
tt0059578,For a Few Dollars More
tt1832382,A Separation
tt0036775,Double Indemnity
tt0053604,The Apartment
tt1255953,Incendies
tt0056592,To Kill a Mockingbird
tt0097576,Indiana Jones and the Last Crusade
tt1049413,Up
tt2095684,L
tt0113277,Heat
tt0071853,Monty Python and the Holy Grail
tt2759632,Rashômon
tt0095016,Die Hard
tt0055630,Yojimbo
tt0372784,Batman Begins
tt0091251,Come and See
tt6966692,Green Book
tt0118849,Children of Heaven
tt0363163,Downfall
tt0105695,Unforgiven
tt0053291,Some Like It Hot
tt0347149,Howl's Moving Castle
tt0089881,Ran
tt0057115,The Great Escape
tt0042192,All About Eve
tt0268978,A Beautiful Mind
tt0112641,Casino
tt0457430,Pan's Labyrinth
tt0096283,My Neighbor Totoro
tt1305806,The Secret in Their Eyes
tt0081398,Raging Bull
tt0120735,"Lock, Stock and Two Smoking Barrels"
tt0993846,The Wolf of Wall Street
tt0055031,Judgment at Nuremberg
tt0040897,The Treasure of the Sierra Madre
tt0469494,There Will Be Blood
tt5027774,"Three Billboards Outside Ebbing, Missouri"
tt0015864,The Gold Rush
tt0071315,Chinatown
tt0046912,Dial M for Murder
tt0434409,V for Vendetta
tt0050976,The Seventh Seal
tt0477348,No Country for Old Men
tt2096673,Inside Out
tt1291584,Warrior
tt1130884,Shutter Island
tt0117951,Trainspotting
tt0080678,The Elephant Man
tt0167404,The Sixth Sense
tt0084787,The Thing
tt0031381,Gone with the Wind
tt3170832,Room
tt0107290,Jurassic Park
tt0050986,Wild Strawberries
tt0083658,Blade Runner
tt0050212,The Bridge on the River Kwai
tt0266543,Finding Nemo
tt0079944,Stalker
tt0047296,On the Waterfront
tt0041959,The Third Man
tt0116282,Fargo
tt0266697,Kill Bill: Vol. 1
tt0120382,The Truman Show
tt1205489,Gran Torino
tt0046438,Tokyo Story
tt0077416,The Deer Hunter
tt0353969,Memories of Murder
tt4729430,Klaus
tt8108198,Andhadhun
tt0116231,The Bandit
tt0118715,The Big Lebowski
tt0978762,Mary and Max
tt0107207,In the Name of the Father
tt2267998,Gone Girl
tt2119532,Hacksaw Ridge
tt0035446,To Be or Not to Be
tt2278388,The Grand Budapest Hotel
tt1950186,Ford v Ferrari
tt0060827,Persona
tt0112471,Before Sunrise
tt0264464,Catch Me If You Can
tt0892769,How to Train Your Dragon
tt0017925,The General
tt0356910,Mr. & Mrs. Smith
tt0015324,Sherlock Jr.
tt1392214,Prisoners
tt2024544,12 Years a Slave
tt0061512,Cool Hand Luke
tt1392190,Mad Max: Fury Road
tt0072684,Barry Lyndon
tt0074958,Network
tt0046268,The Wages of Fear
tt0092005,Stand by Me
tt0758758,Into the Wild
tt0405159,Million Dollar Baby
tt0079470,Monty Python's Life of Brian
tt1028532,Hachi: A Dog's Tale
tt0091763,Platoon
tt0052618,Ben-Hur
tt1979320,Rush
tt0019254,The Passion of Joan of Arc
tt3315342,Logan
tt0097165,Dead Poets Society
tt1201607,Harry Potter and the Deathly Hallows: Part 2
tt0060107,Andrei Rublev
tt0053198,The 400 Blows
tt0395169,Hotel Rwanda
tt0245712,Amores Perros
tt0405508,Rang De Basanti
tt1895587,Spotlight
tt0087544,Nausicaä of the Valley of the Wind
tt4016934,The Handmaiden
tt8613070,Portrait of a Lady on Fire
tt0075148,Rocky
tt0032976,Rebecca
tt0198781,"Monsters, Inc."
tt0113247,La Haine
tt0025316,It Happened One Night
tt1954470,Gangs of Wasseypur
tt0118694,In the Mood for Love
tt0381681,Before Sunset
tt0093779,The Princess Bride
tt1454029,The Help
tt0087884,"Paris, Texas"
tt4857264,The Invisible Guest
tt4430212,Drishyam
tt0088247,The Terminator
tt0043338,Ace in the Hole
tt0169102,Lagaan: Once Upon a Time in India
tt0064115,Butch Cassidy and the Sundance Kid
tt0103639,Aladdin
tt2338151,PK
tt0094625,Akira
tt0050613,Throne of Blood
