imdb_id,director
tt0107290,Steven Spielberg
tt0050986,Ingmar Bergman
tt0083658,Ridley Scott
tt0050212,David Lean
tt0266543,Andrew Stanton
tt0266543,Lee Unkrich(co-director)
tt0079944,Andrei Tarkovsky
tt0047296,Elia Kazan
tt0041959,Carol Reed
tt0116282,Joel Coen
tt0116282,Ethan Coen
tt0266697,Quentin Tarantino
tt0120382,Peter Weir
tt1205489,Clint Eastwood
tt0046438,Yasujirô Ozu
tt0077416,Michael Cimino
tt0353969,Bong Joon Ho
tt4729430,Sergio Pablos
tt4729430,Carlos Martínez López(co-director)
tt8108198,Sriram Raghavan
tt0116231,Yavuz Turgul
tt0118715,Joel Coen
tt0118715,Ethan Coen
tt0978762,Adam Elliot
tt0107207,Jim Sheridan
tt2267998,David Fincher
tt2119532,Mel Gibson
tt0035446,Ernst Lubitsch
tt2278388,Wes Anderson
tt1950186,James Mangold
tt0060827,Ingmar Bergman
tt0112471,Richard Linklater
tt0264464,Steven Spielberg
tt0892769,Dean DeBlois
tt0892769,Chris Sanders
tt0017925,Clyde Bruckman
tt0017925,Buster Keaton
tt0356910,Doug Liman
tt0015324,Buster Keaton
tt1392214,Denis Villeneuve
tt2024544,Steve McQueen
tt0061512,Stuart Rosenberg
tt1392190,George Miller
tt0072684,Stanley Kubrick
tt0074958,Sidney Lumet
tt0046268,Henri-Georges Clouzot
tt0092005,Rob Reiner
tt0758758,Sean Penn
tt0405159,Clint Eastwood
tt0079470,Terry Jones
tt1028532,Lasse Hallström
tt0091763,Oliver Stone
tt0052618,William Wyler
tt1979320,Ron Howard
tt0019254,Carl Theodor Dreyer
tt3315342,James Mangold
tt0097165,Peter Weir
tt1201607,David Yates
tt0060107,Andrei Tarkovsky
tt0053198,François Truffaut
tt0395169,Terry George
tt0245712,Alejandro G. Iñárritu
tt0405508,Rakeysh Omprakash Mehra
tt1895587,Tom McCarthy
tt0087544,Hayao Miyazaki
tt4016934,Chan-wook Park
tt8613070,Céline Sciamma
tt0075148,John G. Avildsen
tt0032976,Alfred Hitchcock
tt0198781,Pete Docter
tt0198781,David Silverman(co-director)
tt0198781,Lee Unkrich(co-director)
tt0113247,Mathieu Kassovitz
tt0025316,Frank Capra
tt1954470,Anurag Kashyap
tt0118694,Kar-Wai Wong
tt0381681,Richard Linklater
tt0093779,Rob Reiner
tt1454029,Tate Taylor
tt0087884,Wim Wenders
tt4857264,Oriol Paulo
tt4430212,Nishikant Kamat
tt0088247,James Cameron
tt0043338,Billy Wilder
tt0169102,Ashutosh Gowariker
tt0064115,George Roy Hill
tt0103639,Ron Clements
tt0103639,John Musker
tt2338151,Rajkumar Hirani
tt0094625,Katsuhiro Ôtomo
tt0050613,Akira Kurosawa
