,netflixid,title,image,synopsis,rating,type,released,runtime,largeimage,unogsdate,imdbid,download
10,80106038,Devil&#39;s Bride,https://occ-0-2717-360.1.nflxso.net/dnm/api/v6/evlCitJPPCVCry0BZlEFb5-QjKc/AAAABc0mTpm9QTZmGIVjh4I_p0KbpSjtGkL0_ivj1a3ZWdJGyHMIRJydtiYMXcr94DU2uFS6NOZlk8GeJWlc0YvZJTkeKg.jpg?r=88a,"On a small Finnish island in 1666, a teenage girl in love with a married fisherman becomes the center of a tragic witch hunt and power struggle.",8.7,movie,2016,1h48m,,2017-04-11,tt0153509,0
11,70059483,Bill Hicks: Relentless,http://occ-0-2851-38.1.nflxso.net/dnm/api/v6/evlCitJPPCVCry0BZlEFb5-QjKc/AAAABfgnQ7tvecptNnFLUcpyoHHVyug6vYgcWbOKifnNSFz2HICqifb9CuE182Gun2L54aDz6wzXVZap9mgnOEDU-gFH2w.jpg?r=e5e,"In one of his most iconic performances, late comedian Bill Hicks demonstrates what made him such a singular talent and a force to be reckoned with.",8.7,movie,1992,1h0m,,2018-12-30,tt0148668,0
12,24073896,Koshish,https://occ-0-2851-38.1.nflxso.net/dnm/api/v6/evlCitJPPCVCry0BZlEFb5-QjKc/AAAABUGeKXOFITAvpOd6sDQ4cKifL-FqigkMMo74cPE2HYsPgHX4pM29gnvcBF_KMISYOtC739abEC5uagHucrGB2eosOQ.jpg?r=72c,A speech and hearing-impaired couple persists through unforgiving obstacles to be accepted by society and live a life of dignity.,8.7,movie,1972,1h54m,,2019-12-31,tt0215911,0
13,81232423,Untamed Romania,https://occ-0-2851-38.1.nflxso.net/dnm/api/v6/evlCitJPPCVCry0BZlEFb5-QjKc/AAAABflORHj9BOywWRFzhupEb3DtAfIraK_VAe7_-kgZ9zBJVib9PG7-n0neuVsZjE82_ctPIeRzbzq98N6phKwZ76ptfA.jpg?r=375,This documentary explores how the legendary creatures of Romania&#39;s vast wilderness roam free yet endure the ever-changing seasons.,8.7,movie,2018,1h32m,,2020-02-20,tt8076222,0
14,80108207,Bill Hicks: Revelations,http://occ-0-2851-38.1.nflxso.net/dnm/api/v6/evlCitJPPCVCry0BZlEFb5-QjKc/AAAABejvIcGbXF3JtxDfsjnaoCRljFg6r4jk0g3NqlWDAtYLyxrDpkHwVxLyrwLJ_EQt6PZVpbNkVMPKGWShQ9pKW2obJQ.jpg?r=5c1,"In his final recorded special, the iconoclastic comedian channels Goat Boy and tackles provocative topics like British porn, pot and the priesthood.",8.6,movie,1993,56m,,2016-07-01,tt0152183,1
15,81217739,Mallesham,http://occ-0-1490-1489.1.nflxso.net/dnm/api/v6/evlCitJPPCVCry0BZlEFb5-QjKc/AAAABZVttCBZdeDiKdnrrtEjpCHQuJFjmGiGL9u5nIYhzUSG3inzGEGHIQCQBANpRHLNfXFwd36G0NQbZvqgZVhFDvbEwg.jpg?r=913,"A self-trained engineer risks debt, love and reputation in his quest to improve the grueling work conditions of his mother and her weaving community.",8.6,movie,2019,2h11m,,2019-11-20,tt9742362,0
16,21028086,Gol Maal,https://occ-0-2851-38.1.nflxso.net/dnm/api/v6/evlCitJPPCVCry0BZlEFb5-QjKc/AAAABbAYbgDXijPBrVC-608mOxWd6unsP8kAv_g92gZE-d5CJLXpBUGhteVbznCb7wNj_BSNwDKdu654TQFYA3mTyU9WkQ.jpg?r=1c5,"When circumstances at work compel Ram to pretend to have a twin, his lie works -- until the boss wants his daughter to marry Ram&rsquo;s fictitious brother.",8.6,movie,1979,2h16m,,2019-12-31,tt0079221,0
17,60010110,Back to the Future,https://occ-0-1348-1347.1.nflxso.net/dnm/api/v6/evlCitJPPCVCry0BZlEFb5-QjKc/AAAABX8AN_0v-MMCns2Mg6EybmvhBXp-XQuC064tHHvwYM2mAW8I4NRFEL1XHKnXH1noz3pWDAajwxEIIY3n9suHnFJlXw.jpg?r=db2,"Eccentric inventor Doc Brown turns a DeLorean into a time machine that inadvertently sends his young friend, Marty McFly, 30 years into the past.",8.5,movie,1985,1h56m,http://cdn0.nflximg.net/images/2754/9642754.jpg,2015-04-14,tt0088763,1
18,60031884,Once Upon a Time in the West,https://occ-0-1926-41.1.nflxso.net/dnm/api/v6/evlCitJPPCVCry0BZlEFb5-QjKc/AAAABW5pJIEQjuu07cUhsbZgepyElXZr8zzEDyL3i09EwcqsNcG1V91wxsmgAkWb1YRb66OwTPzzMsJeRU9XH-eeORnQkA.jpg?r=cfa,"In this epic spaghetti Western, a flinty gunslinger is hired by a railroad tycoon to kill anyone standing in the way of his trans-American iron horse.",8.5,movie,1968,2h46m,http://cdn0.nflximg.net/images/8748/23738748.jpg,2015-04-14,tt0064116,0
19,60025061,The Pianist,https://occ-0-1091-300.1.nflxso.net/dnm/api/v6/evlCitJPPCVCry0BZlEFb5-QjKc/AAAABQPnnhThPWr_u19ajFlcYkYA3CXs7rzNkhZY53-6449ewtY1liJ0XxIUjEf5Gw6c43gpRXAUm00LbKc10WSmSMEBiw.jpg?r=91c,Famed Polish pianist Wladyslaw Szpilman struggles to survive the onslaught of Nazi tyranny during World War II in this drama based on his memoirs.,8.5,movie,2002,2h28m,http://cdn0.nflximg.net/images/7106/23587106.jpg,2015-04-14,tt0253474,1
20,70295560,Bo Burnham: what.,http://occ-0-2851-38.1.nflxso.net/dnm/api/v6/evlCitJPPCVCry0BZlEFb5-QjKc/AAAABRBb7mL5wDy2FLHQS-SVKjSRGOLdpoKKRXjENBWjx7e9WsqOwFHCVtSBWS5-4uenZwi3TpyKAzNs-aVRXlO9hY9ZYw.jpg?r=f2a,Left brain and right brain duke it out -- and ultimately belt out a melody -- in stand-up comedian Bo Burnham&#39;s quick and clever one-man show.,8.5,movie,2013,1h0m,http://cdn0.nflximg.net/images/5454/8215454.jpg,2015-04-14,tt3210258,1
21,70298389,Tim Minchin And The Heritage Orchestra Live,http://occ-0-2851-38.1.nflxso.net/dnm/api/v6/evlCitJPPCVCry0BZlEFb5-QjKc/AAAABQdPfdpSF_qHOUA9iI4DqxOk2zZzGusT4WdfWhO3fceRei4QuFleX4-esQFqmBoSEFFTO2CevGz1qjHTtQwT23PfFg.jpg?r=9ca,"Flanked by a full orchestra, Tim Minchin takes the Royal Albert Hall by storm with a wonderfully witty evening of satirical musical comedy.",8.5,movie,2011,2h26m,http://cdn0.nflximg.net/images/9240/9119240.jpg,2015-04-14,tt3709746,1
22,80032364,Punjab 1984,https://occ-0-2773-2774.1.nflxso.net/dnm/api/v6/evlCitJPPCVCry0BZlEFb5-QjKc/AAAABTYIfDZaBo6Wr7LsCeS7J428HeOWSUPdlVddqyPde3NxVBW7xIcOezyQlTOlRTcwQ226oNCSlY1uC---hr-WXHVAqQ.jpg?r=e64,"During a time of political turmoil, a mother goes on a journey in search of her missing son, who has been misjudged and labeled a terrorist.",8.5,movie,2014,2h37m,http://cdn0.nflximg.net/images/7280/11997280.jpg,2015-04-14,tt3607198,1
23,70170051,Senna,https://occ-0-1490-1489.1.nflxso.net/dnm/api/v6/evlCitJPPCVCry0BZlEFb5-QjKc/AAAABQCuhrRMtZoVmhPy_IDUMHwHdTbS-nvC5BKHk-lnFf1qMgwvYYRRghf7DQ658gIMb0JR8grf_r9cNg55RgxqcP5YXg.jpg?r=f25,"This fast-paced documentary profiles Ayrton Senna, one of the greatest drivers in the history of Formula One racing, and a hero in his native Brazil.",8.5,movie,2010,1h45m,http://cdn1.nflximg.net/images/8261/8188261.jpg,2015-04-14,tt1424432,1
24,70043231,Bill Hicks: Sane Man,http://occ-0-2851-38.1.nflxso.net/dnm/api/v6/evlCitJPPCVCry0BZlEFb5-QjKc/AAAABRMqQjSeGmpGTULg-BiBWzcPIjrtAfpL0lSG5KZijU-h3SYRGx-YlFzOOClr_ZMmRgTAeT4DnH4JHTPGzZRqgrgNiA.jpg?r=62d,"Filmed in 1989 at a turning point in comedian Bill Hicks&#39;s career, this rare onstage performance captures him spouting off on a variety of topics.",8.5,movie,1989,1h20m,,2016-08-31,tt0287337,1
25,70129452,Louis C.K.: Hilarious,http://occ-0-2851-38.1.nflxso.net/dnm/api/v6/evlCitJPPCVCry0BZlEFb5-QjKc/AAAABZ8Wsul6x-VJDruJ0HXLq-3qaFYJtc-eSNr-5-bx0hcqHJtzOEzLz3XbS1axn3AeC1SV0TvztnCf3GuikL6PGEz3Cg.jpg?r=979,"Emmy-winning comedy writer Louis C.K. brings his caustic wit to Milwaukee, offering up his unique and uncensored take on sex, parenting and more.",8.5,movie,2010,1h23m,,2016-09-16,tt1421373,1
26,80203792,Eh Janam Tumhare Lekhe,https://occ-0-2717-360.1.nflxso.net/dnm/api/v6/evlCitJPPCVCry0BZlEFb5-QjKc/AAAABVgHdz7Ty5LW4smxs2D2oURTLWao6koDAZzmgyFNN3XJ4ZLoc0VHCBKa2bhRJGaP0PQwmVd_CsIXcocA7nmU-5gyzg.jpg?r=28b,"Driven by the lessons he learned from his mother, and the values of the Sikh religion, a man sets out on a mission to serve humanity.",8.5,movie,2015,2h4m,,2017-12-01,tt4280824,0
27,80149139,Interrogation,https://occ-0-2851-38.1.nflxso.net/dnm/api/v6/evlCitJPPCVCry0BZlEFb5-QjKc/AAAABVMc8N6ucLZnp1Z9C1n2g66QueCEVVI5_kP645fIzNdjGq5yqsUEdd0Uvq1YBiXX0ZCj0N7rGi9aqz7_qZMD1PMNUw.jpg?r=579,"In this fact-based drama, politically motivated cops in Andhra Pradesh set out to frame four Tamil laborers for a crime, torturing them to no avail.",8.5,movie,2015,1h55m,,2016-12-01,tt4991384,1
28,80232329,Springsteen on Broadway,https://occ-0-2851-38.1.nflxso.net/dnm/api/v6/evlCitJPPCVCry0BZlEFb5-QjKc/AAAABZi06gp2ZS7lfJYaILMU0roevW_ODHnPhzCRnzl1y5IQpUrSAgISXLarld2KnUOgyk3Rkh4Hrb_KCNRshfk_chmIy8uDB0UB99rH5HD4X_cuQiTJyisnO0sO-Lw.jpg?r=0da,Bruce Springsteen shares personal stories from his life and acoustic versions of some of his best-known songs in an intimate one-man show.,8.5,movie,2018,2h33m,,2018-12-16,tt8716334,0
29,80219127,Avengers: Infinity War,https://occ-0-2219-2218.1.nflxso.net/dnm/api/v6/evlCitJPPCVCry0BZlEFb5-QjKc/AAAABZFmdOwNxANNDGTe1MtWWpzya6havvjCqEwEYMCkz6D2AI0IKw-JrK5hcNM7tq8cXANXFqQJfFa2d-EmFJV8lyosUA.jpg?r=b53,Superheroes amass to stop intergalactic sociopath Thanos from acquiring a full set of Infinity Stones and wiping out half of all life in the universe.,8.5,movie,2018,2h29m,,2018-12-25,tt4154756,0
30,81217747,Qismat,https://occ-0-2851-38.1.nflxso.net/dnm/api/v6/evlCitJPPCVCry0BZlEFb5-QjKc/AAAABeO1tDYp1lbHCoNECgpLnhxv6Hd-k_ENjxjsiwqM_nN0SG2ERR9HlLU3LClEXYXrKiO1MdHe9rWrQXPRdW8BVjAmEQ.jpg?r=6ab,"A young villager moves to Chandigarh and falls for his bubbly neighbor, but their love story is affected by several heartbreaking twists of fate.",8.5,movie,2018,2h17m,,2019-12-01,tt8665634,0
31,81213979,Masoom,http://occ-0-1490-1489.1.nflxso.net/dnm/api/v6/evlCitJPPCVCry0BZlEFb5-QjKc/AAAABTljnX1jnYyZIqV8HLHbyzD043VKoadfX26iWtuc2GmQPI68y2BSQlcJlxZfqkxE4zKDTHwfoWJ0QwBKdUSC1QklDg.jpg?r=2af,A loving husband and father&#39;s joyful family life is rocked to its core upon the discovery that he has a young son borne from a past extramarital affair.,8.5,movie,1983,2h17m,,2019-12-31,tt0085913,0
32,80004478,Bill Burr: I&#39;m Sorry You Feel That Way,http://occ-0-2773-2774.1.nflxso.net/dnm/api/v6/evlCitJPPCVCry0BZlEFb5-QjKc/AAAABfxpiRgWytMfwm6SIySlqr1EdCu5tofGbr74MqXeaw-X8w0Olob9M59vgyVgH-Gk23LUZ1Sd2JR42zwsh3JFrrDSeydfp2ATYJk1XrXT7ur0PefXCkXMw2uX0Es.jpg?r=055,"Bill Burr escapes the zombie apocalypse, explores how rom-coms ruin great sex and explains how too many childhood hugs may be the downfall of man.",8.4,movie,2014,1h20m,http://cdn1.nflximg.net/images/5755/11785755.jpg,2015-04-14,tt3823690,1
33,70230640,Django Unchained,https://occ-0-2773-2774.1.nflxso.net/dnm/api/v6/evlCitJPPCVCry0BZlEFb5-QjKc/AAAABRzu4DL2MtiqQ5egSaSDjayUusS8MOLcS3agy0c7Eapj1XsnMdBz2uqyWJ9HCzJylloiwZm6Z0pDwYB1kTSOT55ZSg.jpg?r=3c6,"Accompanied by a German bounty hunter, a freed slave named Django travels across America to free his wife from a sadistic plantation owner.",8.4,movie,2012,2h45m,http://cdn1.nflximg.net/images/0065/11300065.jpg,2015-04-14,tt1853728,1
34,70174733,Bill Burr: Let It Go,http://occ-0-2219-2218.1.nflxso.net/dnm/api/v6/evlCitJPPCVCry0BZlEFb5-QjKc/AAAABfUL0sJVMPnyheS34HINPWPh8TR-RaqsH6bm-WVaN81AzLwcSXqR18AkK-i7-GWEAAu1XxNuYKW415Xv3_alTCFRRA.jpg?r=552,"The musings of comedian Bill Burr are let loose in this special, which was filmed at the historic Fillmore Auditorium in San Francisco.",8.4,movie,2010,1h4m,http://cdn1.nflximg.net/images/6025/8716025.jpg,2015-04-14,tt1717578,1
35,70137744,Rush: Beyond the Lighted Stage,https://occ-0-2851-38.1.nflxso.net/dnm/api/v6/evlCitJPPCVCry0BZlEFb5-QjKc/AAAABXeZ7TbRoLuBVEIg7B7xPy9oT70QdP2Qc7_1GEcfDqWyeNxyZCg-mARpaGDWz30m_ocY5JQXiLHo6F_PKb9M92qqtA.jpg?r=fa1,"Celebrate the remarkable 40-year career of influential Canadian rockers Rush with this documentary, which details the band&#39;s formation and evolution.",8.4,movie,2010,1h46m,http://cdn0.nflximg.net/images/7744/8747744.jpg,2015-04-14,tt1545103,1
36,60011649,Indiana Jones and the Raiders of the Lost Ark,https://occ-0-2717-360.1.nflxso.net/dnm/api/v6/evlCitJPPCVCry0BZlEFb5-QjKc/AAAABR1xbg83TE-2oltihpLlxzk54uL1kiJVR7DI7EDBnWHhdR6W9av4ykSyvBWX8HOfocDynZmwNRFRCPdMF1Z3z180qA.jpg?r=462,"When Indiana Jones is hired by the government to locate the legendary Ark of the Covenant, he finds himself up against the entire Nazi regime.",8.4,movie,1981,1h55m,http://cdn1.nflximg.net/images/0183/23740183.jpg,2015-09-01,tt0082971,0
37,80031666,Winter on Fire,https://occ-0-2851-38.1.nflxso.net/dnm/api/v6/evlCitJPPCVCry0BZlEFb5-QjKc/AAAABXOybUrOI-7WzIyekUH0EAFahmkYizvd2xuRJY6kjjMlx0ZYeUGqCRFRPZGTTpJQq8IovCg8ilQ1dGB5VAJZIdmH4_MxwapIaj4Dqr-6RgzTJoHLlbUjxkIkfgs.jpg?r=9f3,"Over 93 days in Ukraine, what started as peaceful student demonstrations became a violent revolution and full-fledged civil rights movement.",8.4,movie,2015,1h38m,http://cdn1.nflximg.net/images/0302/22840302.jpg,2015-10-09,tt4908644,1
38,80106124,Bo Burnham: Make Happy,http://occ-0-2851-38.1.nflxso.net/dnm/api/v6/evlCitJPPCVCry0BZlEFb5-QjKc/AAAABWok1cfzyh5OvLjmahAUfC7Klz35Sgp4XqMU_x8TvLM8w33NAIl3Ys8k1URi_NiFrvB-JtcpHvbJj5oD_oy1K0pI0cK2IGrdIzzzDNN8N-mnHNEQktQeOfLvUS0.jpg?r=104,"Combining his trademark wit and self-deprecating humor with original music, Bo Burnham offers up his unique twist on life in this stand-up special.",8.4,movie,2016,1h0m,,2016-06-03,tt5192124,1
39,70087087,Taare Zameen Par,https://occ-0-2851-38.1.nflxso.net/dnm/api/v6/evlCitJPPCVCry0BZlEFb5-QjKc/AAAABRG56J-80Z5emLSmYzxjC1Z55FYt8TRuRyTiDJWBIvtP_kqQI667-4IKaoDwsbDHEh4aYizsg0qEz6o79at1O3kw_A.jpg?r=a47,"When daydreamer Ishaan is sent to boarding school, an unconventional art teacher tries to help the imaginative student discover his true identity.",8.4,movie,2007,2h42m,,2017-12-08,tt0986264,0
40,80169554,The Wishing Tree,https://occ-0-2851-38.1.nflxso.net/dnm/api/v6/evlCitJPPCVCry0BZlEFb5-QjKc/AAAABe_OCQc3iZA4-T5rSqEf_GzIxhPcsIYY0Q9LDeX4LsaBf54zS80Tdn0ium8NJJpXjJsFhELh83VrheLC9MITk-QgOg.jpg?r=1a1,Five children living on the edge of a forest band together to save a magical wishing tree from destruction and find their own paths to happiness.,8.4,movie,2017,1h56m,,2017-05-01,tt0075963,0
41,80166185,Dangal,https://occ-0-2851-38.1.nflxso.net/dnm/api/v6/evlCitJPPCVCry0BZlEFb5-QjKc/AAAABRxfuu6Jkq9KoD0K57EAHahY6GMGSQ-VvWDqkWEVyZkjAe9jj1ZUdcenjV0MIzTdgqJkSU-fIJIsXK_5hzOR6TYjaQ.jpg?r=266,A once-promising wrestler pursues the gold medal he never won by training two of his daughters to compete at the Commonwealth Games.,8.4,movie,2016,2h40m,,2017-06-21,tt5074352,0
42,80990811,Love Ni Bhavai,http://occ-0-1490-1489.1.nflxso.net/dnm/api/v6/evlCitJPPCVCry0BZlEFb5-QjKc/AAAABTzEzhRGVSsgaAxm5Y1MaYlrD6NaB91v065yIfuYc1cHebtalBCLtnPpW9JxgDU3AiY6wD8jtDWQihbv6uRi-HdN0w.jpg?r=fd7,"Not romantically inclined, a popular radio personality finds herself caught between two diametrically opposed suitors.",8.4,movie,2017,2h42m,,2018-05-01,tt7580570,0
43,80994807,Skydancers,https://occ-0-1091-300.1.nflxso.net/dnm/api/v6/evlCitJPPCVCry0BZlEFb5-QjKc/AAAABQXYcRWyxtIPD4t9CVJQusEvzQJzha37zoElogB7tuuckTWkuMt8pLwLNVSre14U3rucs2ihygQjqirrt7HYltug-A.jpg?r=4f8,Only a few women pilots take part in the sport of aerobatics. Director Fredric Lean captures their powerful spirit at the World Aerobatic Championships.,8.4,movie,2014,49m,,2018-06-27,tt2400894,0
44,70127589,Harishchandrachi Factory,https://occ-0-2717-360.1.nflxso.net/dnm/api/v6/evlCitJPPCVCry0BZlEFb5-QjKc/AAAABQOxOcxznMg7ZX9kNxU0bJKSuFymzClT4ux0uGJWRMQaylJr78Yl_zMDWZ5gIVlGSuv8n1vxRKC3TN3w6__Y0bQiHg.jpg?r=6de,"Against a backdrop of burgeoning social unrest, a neophyte filmmaker makes history in 1913 as the director of India&#39;s first feature-length film.",8.4,movie,2009,1h38m,,2018-10-01,tt1524539,0
45,81077795,Life in the Doghouse,https://occ-0-2851-38.1.nflxso.net/dnm/api/v6/evlCitJPPCVCry0BZlEFb5-QjKc/AAAABc6m_oycTiR0oJbRxDG1OI6BSwgYN_JvCqdFIMYsCGzw4vKiGd9pGuPJgEtjokeAw2dasTK8QNnvscABZNfpwTXLgg.jpg?r=052,"A couple operates a bustling dog rescue out of their own home, vowing to give a safe space to the neediest pups on the planet -- 10,000 and counting.",8.4,movie,2018,1h23m,,2019-05-31,tt5178264,0
46,81128584,Super Deluxe,https://occ-0-2773-2774.1.nflxso.net/dnm/api/v6/evlCitJPPCVCry0BZlEFb5-QjKc/AAAABZcu82JFFPgb2SPBk01uvD0MRI6H8XCEMxCbR3u9efg4I9KIs2WozJcfu2V1QwMYvBjk_5voYBIPoilt1iiXpnTjpw.jpg?r=d61,"Sex, stigma and spirituality merge in these eccentric stories of an angsty teenager, an unfaithful wife and a transgender woman returning to her past.",8.4,movie,2019,2h55m,,2019-06-29,tt7019942,0
47,81002747,Spider-Man: Into the Spider-Verse,https://occ-0-768-769.1.nflxso.net/dnm/api/v6/evlCitJPPCVCry0BZlEFb5-QjKc/AAAABf_gF_rbRDin_WkNoaWOr61QV53dlaErmov1Cu90QaZfHKdDLAAP_7Ir4PwbJte00shYyoVgiSmheYbI6lc_z5dQZQ.jpg?r=ef7,"After being bitten by a radioactive spider, Brooklyn teen Miles Morales gets a crash course in web-slinging from his alternate-dimension counterparts.",8.4,movie,2018,1h56m,,2019-06-28,tt4633694,0
48,70121522,3 Idiots,https://occ-0-2851-38.1.nflxso.net/dnm/api/v6/evlCitJPPCVCry0BZlEFb5-QjKc/AAAABS63PUDVuSGYVFcsW2D0vh0jBORsaPWWTmxgLoh7tahx4Gxrxf8fhccKpf2qLQTWlmud2aKRMYm7unngy8vX3usqww.jpg?r=0c8,"While attending one of India&#39;s premier colleges, three miserable engineering students and best friends struggle to beat the school&#39;s draconian system.",8.4,movie,2009,2h43m,,2019-07-31,tt1187043,0
49,20255593,Chupke Chupke,https://occ-0-2851-38.1.nflxso.net/dnm/api/v6/evlCitJPPCVCry0BZlEFb5-QjKc/AAAABWDEC8sl55bVHfIBTyrdn1rcBS0YWtKercF0rw-9mG6zbR-NNI0qxPTdd81-RBEEhJEBACr5w8sqZsULNBnV1fC7nw.jpg?r=8ad,"Jealous of the high regard in which his new wife holds their brother-in-law, a botany professor stages an elaborate prank that will even the score.",8.4,movie,1975,2h7m,,2019-12-31,tt0072783,0
50,70072558,Sadma,https://occ-0-2851-38.1.nflxso.net/dnm/api/v6/evlCitJPPCVCry0BZlEFb5-QjKc/AAAABRUbzDNpw7wTymT3jBD0Cxu22gX5KKEiyEhpgVDMZWkKLvLeV6StoyGpkKSdzF-Wt8dcNJnWA6z4AOIKpVZmlY7tig.jpg?r=2a9,"After a traumatic injury leaves her with amnesia and age regression, a young woman is sold to a brothel before a teacher becomes her savior.",8.4,movie,1983,2h16m,,2019-12-31,tt0086230,0
51,70108777,Inglourious Basterds,https://occ-0-1091-300.1.nflxso.net/dnm/api/v6/evlCitJPPCVCry0BZlEFb5-QjKc/AAAABehQOs-3zW1O895Sg5usGfUZyWK1lBTrJ27nzr_9pTJflNfMd6bc9u5CkvjIvN86IVwP80iTy04nOE_VAT7F7llvhg.jpg?r=945,"A Jewish cinema owner in occupied Paris is forced to host a Nazi premiere, where a group of American soldiers called the Basterds plans a face-off.",8.3,movie,2009,2h32m,http://cdn1.nflximg.net/images/9657/10849657.jpg,2015-04-14,tt0361748,1
